source,target
oic,islamophobic
oic,india
oic,covid
islamophobic,india
islamophobic,covid
india,covid
abhealth,covid19ab
covid19,medicareforall
plasma,hmc
plasma,yoursafetyismysafety
plasma,coronavirus
plasma,covid_19
plasma,qatar
hmc,yoursafetyismysafety
hmc,coronavirus
hmc,covid_19
hmc,qatar
yoursafetyismysafety,coronavirus
yoursafetyismysafety,covid_19
yoursafetyismysafety,qatar
coronavirus,covid_19
coronavirus,qatar
covid_19,qatar
physicaldistancing,selfisolation
trump,timscott
60minutes,covid19
coronavirus,environment
live,covid
saheart,movemoremonth
saheart,movemore
movemoremonth,movemore
covid19,demcastoh
cityofto,covid19
covid__19,cuba
lagos,covid19
trump,covid__19
trump,china
covid__19,china
covid_19,malware
covid_19,cybersecurity
covid_19,infosec
covid_19,infosecurity
malware,cybersecurity
malware,infosec
malware,infosecurity
cybersecurity,infosec
cybersecurity,infosecurity
infosec,infosecurity
singapore,coronavirus
peanutbutter,asymptomatic
peanutbutter,covid19
peanutbutter,carriers
peanutbutter,covidtesting
peanutbutter,testing
peanutbutter,senseofsmell
asymptomatic,covid19
asymptomatic,carriers
asymptomatic,covidtesting
asymptomatic,testing
asymptomatic,senseofsmell
covid19,carriers
covid19,covidtesting
covid19,testing
covid19,senseofsmell
carriers,covidtesting
carriers,testing
carriers,senseofsmell
covidtesting,testing
covidtesting,senseofsmell
testing,senseofsmell
covid19,stayhome
cubasalvavidas,somoscuba
cubasalvavidas,somoscontinuidad
somoscuba,somoscontinuidad
covid_19,r0
unibenvsunilag,ramadan
coronaviruspandemic,coronavirusoutbreak
covidー19,locusts
singer,india
singer,song
singer,entertainment
singer,perform
singer,love
singer,people
singer,stayhome
singer,lockdown
singer,covid_19
india,song
india,entertainment
india,perform
india,love
india,people
india,stayhome
india,lockdown
india,covid_19
song,entertainment
song,perform
song,love
song,people
song,stayhome
song,lockdown
song,covid_19
entertainment,perform
entertainment,love
entertainment,people
entertainment,stayhome
entertainment,lockdown
entertainment,covid_19
perform,love
perform,people
perform,stayhome
perform,lockdown
perform,covid_19
love,people
love,stayhome
love,lockdown
love,covid_19
people,stayhome
people,lockdown
people,covid_19
stayhome,lockdown
stayhome,covid_19
lockdown,covid_19
covid_19sa,lockdown
covid_19sa,covid_19
lockdown,covid_19
lionbonetrade,endwildlifemarkets
cryptofunds,covid
sexualviolence,domesticviolence
sexualviolence,covid19
domesticviolence,covid19
macombcounty,covid19
rcslt,slpeeps
covid19,coronavirus
kpop,kpopiscringe
techblog,startup
coronaviruspandemic,covid__19
coronavirus,covid19
coronavirus,brazil
covid19,brazil
reopenvirginia,liberateminnesota
covid_19,heartmath
covid_19,coherence
heartmath,coherence
genc,covid19
ehsaastelethon,23rdapril
community,covid_19
community,hawkemedia
covid_19,hawkemedia
coronainpakistan,covid19vaccine
fuckinguseless,trudeaudictatorship
onlineauction,onlinedonation
onlineauction,events
onlinedonation,events
nyc,barber
nyc,relief
nyc,covid
nyc,covid19
nyc,hedliash
nyc,fundingtweets
nyc,support
nyc,gofundme
nyc,plz
barber,relief
barber,covid
barber,covid19
barber,hedliash
barber,fundingtweets
barber,support
barber,gofundme
barber,plz
relief,covid
relief,covid19
relief,hedliash
relief,fundingtweets
relief,support
relief,gofundme
relief,plz
